Web Search interest: farts; poop,,
Worldwide; 2004 - present,,
,,
Interest over time,,
Week,farts,poop
2004-01-04 - 2004-01-10,10,36
2004-01-11 - 2004-01-17,10,36
2004-01-18 - 2004-01-24,9,38
2004-01-25 - 2004-01-31,8,39
2004-02-01 - 2004-02-07,11,37
2004-02-08 - 2004-02-14,9,35
2004-02-15 - 2004-02-21,7,35
2004-02-22 - 2004-02-28,8,34
2004-02-29 - 2004-03-06,9,41
2004-03-07 - 2004-03-13,11,33
2004-03-14 - 2004-03-20,8,34
2004-03-21 - 2004-03-27,8,41
2004-03-28 - 2004-04-03,10,38
2004-04-04 - 2004-04-10,8,39
2004-04-11 - 2004-04-17,11,36
2004-04-18 - 2004-04-24,9,34
2004-04-25 - 2004-05-01,8,34
2004-05-02 - 2004-05-08,8,38
2004-05-09 - 2004-05-15,7,34
2004-05-16 - 2004-05-22,7,34
2004-05-23 - 2004-05-29,6,32
2004-05-30 - 2004-06-05,8,34
2004-06-06 - 2004-06-12,7,29
2004-06-13 - 2004-06-19,7,27
2004-06-20 - 2004-06-26,7,29
2004-06-27 - 2004-07-03,5,24
2004-07-04 - 2004-07-10,9,28
2004-07-11 - 2004-07-17,8,29
2004-07-18 - 2004-07-24,7,30
2004-07-25 - 2004-07-31,5,30
2004-08-01 - 2004-08-07,7,26
2004-08-08 - 2004-08-14,6,29
2004-08-15 - 2004-08-21,6,26
2004-08-22 - 2004-08-28,6,29
2004-08-29 - 2004-09-04,6,31
2004-09-05 - 2004-09-11,8,30
2004-09-12 - 2004-09-18,5,32
2004-09-19 - 2004-09-25,6,31
2004-09-26 - 2004-10-02,8,31
2004-10-03 - 2004-10-09,8,30
2004-10-10 - 2004-10-16,8,32
2004-10-17 - 2004-10-23,6,30
2004-10-24 - 2004-10-30,8,37
2004-10-31 - 2004-11-06,7,34
2004-11-07 - 2004-11-13,9,35
2004-11-14 - 2004-11-20,8,35
2004-11-21 - 2004-11-27,9,32
2004-11-28 - 2004-12-04,9,34
2004-12-05 - 2004-12-11,7,37
2004-12-12 - 2004-12-18,8,36
2004-12-19 - 2004-12-25,10,38
2004-12-26 - 2005-01-01,9,35
2005-01-02 - 2005-01-08,7,35
2005-01-09 - 2005-01-15,6,30
2005-01-16 - 2005-01-22,7,32
2005-01-23 - 2005-01-29,7,35
2005-01-30 - 2005-02-05,7,32
2005-02-06 - 2005-02-12,8,33
2005-02-13 - 2005-02-19,7,38
2005-02-20 - 2005-02-26,8,34
2005-02-27 - 2005-03-05,8,34
2005-03-06 - 2005-03-12,7,34
2005-03-13 - 2005-03-19,8,30
2005-03-20 - 2005-03-26,8,33
2005-03-27 - 2005-04-02,8,37
2005-04-03 - 2005-04-09,8,34
2005-04-10 - 2005-04-16,6,33
2005-04-17 - 2005-04-23,7,32
2005-04-24 - 2005-04-30,8,32
2005-05-01 - 2005-05-07,8,35
2005-05-08 - 2005-05-14,8,33
2005-05-15 - 2005-05-21,7,35
2005-05-22 - 2005-05-28,7,32
2005-05-29 - 2005-06-04,8,34
2005-06-05 - 2005-06-11,8,31
2005-06-12 - 2005-06-18,8,29
2005-06-19 - 2005-06-25,8,28
2005-06-26 - 2005-07-02,6,30
2005-07-03 - 2005-07-09,6,28
2005-07-10 - 2005-07-16,7,31
2005-07-17 - 2005-07-23,8,32
2005-07-24 - 2005-07-30,6,34
2005-07-31 - 2005-08-06,7,31
2005-08-07 - 2005-08-13,7,28
2005-08-14 - 2005-08-20,7,31
2005-08-21 - 2005-08-27,8,28
2005-08-28 - 2005-09-03,8,30
2005-09-04 - 2005-09-10,6,29
2005-09-11 - 2005-09-17,5,29
2005-09-18 - 2005-09-24,6,31
2005-09-25 - 2005-10-01,8,31
2005-10-02 - 2005-10-08,7,32
2005-10-09 - 2005-10-15,7,33
2005-10-16 - 2005-10-22,7,32
2005-10-23 - 2005-10-29,8,34
2005-10-30 - 2005-11-05,7,32
2005-11-06 - 2005-11-12,8,33
2005-11-13 - 2005-11-19,7,34
2005-11-20 - 2005-11-26,7,35
2005-11-27 - 2005-12-03,8,34
2005-12-04 - 2005-12-10,7,36
2005-12-11 - 2005-12-17,8,40
2005-12-18 - 2005-12-24,9,41
2005-12-25 - 2005-12-31,9,34
2006-01-01 - 2006-01-07,8,33
2006-01-08 - 2006-01-14,7,34
2006-01-15 - 2006-01-21,6,30
2006-01-22 - 2006-01-28,7,33
2006-01-29 - 2006-02-04,7,33
2006-02-05 - 2006-02-11,7,34
2006-02-12 - 2006-02-18,8,34
2006-02-19 - 2006-02-25,6,34
2006-02-26 - 2006-03-04,7,36
2006-03-05 - 2006-03-11,9,35
2006-03-12 - 2006-03-18,7,37
2006-03-19 - 2006-03-25,8,37
2006-03-26 - 2006-04-01,7,35
2006-04-02 - 2006-04-08,7,36
2006-04-09 - 2006-04-15,9,37
2006-04-16 - 2006-04-22,8,34
2006-04-23 - 2006-04-29,9,36
2006-04-30 - 2006-05-06,8,35
2006-05-07 - 2006-05-13,8,36
2006-05-14 - 2006-05-20,8,34
2006-05-21 - 2006-05-27,8,33
2006-05-28 - 2006-06-03,8,32
2006-06-04 - 2006-06-10,8,31
2006-06-11 - 2006-06-17,8,28
2006-06-18 - 2006-06-24,8,32
2006-06-25 - 2006-07-01,8,32
2006-07-02 - 2006-07-08,8,28
2006-07-09 - 2006-07-15,8,31
2006-07-16 - 2006-07-22,7,31
2006-07-23 - 2006-07-29,6,31
2006-07-30 - 2006-08-05,7,28
2006-08-06 - 2006-08-12,7,31
2006-08-13 - 2006-08-19,8,30
2006-08-20 - 2006-08-26,8,28
2006-08-27 - 2006-09-02,8,28
2006-09-03 - 2006-09-09,6,30
2006-09-10 - 2006-09-16,6,29
2006-09-17 - 2006-09-23,7,29
2006-09-24 - 2006-09-30,7,29
2006-10-01 - 2006-10-07,7,29
2006-10-08 - 2006-10-14,8,29
2006-10-15 - 2006-10-21,7,31
2006-10-22 - 2006-10-28,8,29
2006-10-29 - 2006-11-04,7,31
2006-11-05 - 2006-11-11,8,29
2006-11-12 - 2006-11-18,7,29
2006-11-19 - 2006-11-25,7,30
2006-11-26 - 2006-12-02,6,30
2006-12-03 - 2006-12-09,9,31
2006-12-10 - 2006-12-16,8,33
2006-12-17 - 2006-12-23,9,35
2006-12-24 - 2006-12-30,8,30
2006-12-31 - 2007-01-06,8,31
2007-01-07 - 2007-01-13,7,30
2007-01-14 - 2007-01-20,8,32
2007-01-21 - 2007-01-27,8,30
2007-01-28 - 2007-02-03,7,32
2007-02-04 - 2007-02-10,7,31
2007-02-11 - 2007-02-17,8,32
2007-02-18 - 2007-02-24,7,30
2007-02-25 - 2007-03-03,7,30
2007-03-04 - 2007-03-10,8,30
2007-03-11 - 2007-03-17,7,30
2007-03-18 - 2007-03-24,6,30
2007-03-25 - 2007-03-31,7,30
2007-04-01 - 2007-04-07,8,31
2007-04-08 - 2007-04-14,7,30
2007-04-15 - 2007-04-21,8,31
2007-04-22 - 2007-04-28,7,33
2007-04-29 - 2007-05-05,6,30
2007-05-06 - 2007-05-12,7,29
2007-05-13 - 2007-05-19,7,32
2007-05-20 - 2007-05-26,7,33
2007-05-27 - 2007-06-02,7,32
2007-06-03 - 2007-06-09,11,31
2007-06-10 - 2007-06-16,7,32
2007-06-17 - 2007-06-23,6,28
2007-06-24 - 2007-06-30,7,28
2007-07-01 - 2007-07-07,7,28
2007-07-08 - 2007-07-14,7,31
2007-07-15 - 2007-07-21,7,31
2007-07-22 - 2007-07-28,7,29
2007-07-29 - 2007-08-04,7,30
2007-08-05 - 2007-08-11,6,30
2007-08-12 - 2007-08-18,6,29
2007-08-19 - 2007-08-25,8,30
2007-08-26 - 2007-09-01,7,28
2007-09-02 - 2007-09-08,6,28
2007-09-09 - 2007-09-15,7,28
2007-09-16 - 2007-09-22,6,29
2007-09-23 - 2007-09-29,6,29
2007-09-30 - 2007-10-06,5,29
2007-10-07 - 2007-10-13,7,32
2007-10-14 - 2007-10-20,6,31
2007-10-21 - 2007-10-27,7,31
2007-10-28 - 2007-11-03,7,31
2007-11-04 - 2007-11-10,8,33
2007-11-11 - 2007-11-17,7,32
2007-11-18 - 2007-11-24,9,36
2007-11-25 - 2007-12-01,8,36
2007-12-02 - 2007-12-08,9,39
2007-12-09 - 2007-12-15,7,36
2007-12-16 - 2007-12-22,8,38
2007-12-23 - 2007-12-29,8,34
2007-12-30 - 2008-01-05,9,37
2008-01-06 - 2008-01-12,7,33
2008-01-13 - 2008-01-19,7,34
2008-01-20 - 2008-01-26,8,33
2008-01-27 - 2008-02-02,8,35
2008-02-03 - 2008-02-09,7,35
2008-02-10 - 2008-02-16,8,34
2008-02-17 - 2008-02-23,9,36
2008-02-24 - 2008-03-01,8,34
2008-03-02 - 2008-03-08,7,35
2008-03-09 - 2008-03-15,8,35
2008-03-16 - 2008-03-22,8,34
2008-03-23 - 2008-03-29,8,34
2008-03-30 - 2008-04-05,8,35
2008-04-06 - 2008-04-12,7,37
2008-04-13 - 2008-04-19,7,35
2008-04-20 - 2008-04-26,7,37
2008-04-27 - 2008-05-03,8,36
2008-05-04 - 2008-05-10,7,34
2008-05-11 - 2008-05-17,7,33
2008-05-18 - 2008-05-24,8,35
2008-05-25 - 2008-05-31,8,34
2008-06-01 - 2008-06-07,8,33
2008-06-08 - 2008-06-14,7,34
2008-06-15 - 2008-06-21,7,34
2008-06-22 - 2008-06-28,8,36
2008-06-29 - 2008-07-05,8,34
2008-07-06 - 2008-07-12,7,34
2008-07-13 - 2008-07-19,8,35
2008-07-20 - 2008-07-26,10,35
2008-07-27 - 2008-08-02,9,34
2008-08-03 - 2008-08-09,10,33
2008-08-10 - 2008-08-16,10,35
2008-08-17 - 2008-08-23,9,34
2008-08-24 - 2008-08-30,9,33
2008-08-31 - 2008-09-06,9,31
2008-09-07 - 2008-09-13,8,34
2008-09-14 - 2008-09-20,8,34
2008-09-21 - 2008-09-27,9,34
2008-09-28 - 2008-10-04,9,33
2008-10-05 - 2008-10-11,9,34
2008-10-12 - 2008-10-18,9,34
2008-10-19 - 2008-10-25,9,34
2008-10-26 - 2008-11-01,10,34
2008-11-02 - 2008-11-08,9,35
2008-11-09 - 2008-11-15,9,37
2008-11-16 - 2008-11-22,9,38
2008-11-23 - 2008-11-29,9,35
2008-11-30 - 2008-12-06,9,39
2008-12-07 - 2008-12-13,9,40
2008-12-14 - 2008-12-20,10,36
2008-12-21 - 2008-12-27,11,39
2008-12-28 - 2009-01-03,11,41
2009-01-04 - 2009-01-10,9,35
2009-01-11 - 2009-01-17,9,35
2009-01-18 - 2009-01-24,10,35
2009-01-25 - 2009-01-31,10,39
2009-02-01 - 2009-02-07,10,36
2009-02-08 - 2009-02-14,9,36
2009-02-15 - 2009-02-21,9,36
2009-02-22 - 2009-02-28,9,37
2009-03-01 - 2009-03-07,10,37
2009-03-08 - 2009-03-14,10,36
2009-03-15 - 2009-03-21,10,36
2009-03-22 - 2009-03-28,10,38
2009-03-29 - 2009-04-04,9,39
2009-04-05 - 2009-04-11,10,38
2009-04-12 - 2009-04-18,9,39
2009-04-19 - 2009-04-25,10,40
2009-04-26 - 2009-05-02,12,38
2009-05-03 - 2009-05-09,9,37
2009-05-10 - 2009-05-16,8,36
2009-05-17 - 2009-05-23,8,38
2009-05-24 - 2009-05-30,9,38
2009-05-31 - 2009-06-06,10,38
2009-06-07 - 2009-06-13,10,39
2009-06-14 - 2009-06-20,10,39
2009-06-21 - 2009-06-27,9,40
2009-06-28 - 2009-07-04,10,39
2009-07-05 - 2009-07-11,11,40
2009-07-12 - 2009-07-18,11,40
2009-07-19 - 2009-07-25,10,39
2009-07-26 - 2009-08-01,10,41
2009-08-02 - 2009-08-08,16,40
2009-08-09 - 2009-08-15,10,40
2009-08-16 - 2009-08-22,10,39
2009-08-23 - 2009-08-29,8,38
2009-08-30 - 2009-09-05,9,38
2009-09-06 - 2009-09-12,9,37
2009-09-13 - 2009-09-19,9,38
2009-09-20 - 2009-09-26,9,40
2009-09-27 - 2009-10-03,9,37
2009-10-04 - 2009-10-10,9,38
2009-10-11 - 2009-10-17,10,39
2009-10-18 - 2009-10-24,11,41
2009-10-25 - 2009-10-31,9,39
2009-11-01 - 2009-11-07,9,41
2009-11-08 - 2009-11-14,9,41
2009-11-15 - 2009-11-21,10,44
2009-11-22 - 2009-11-28,10,42
2009-11-29 - 2009-12-05,9,42
2009-12-06 - 2009-12-12,10,45
2009-12-13 - 2009-12-19,10,43
2009-12-20 - 2009-12-26,10,45
2009-12-27 - 2010-01-02,11,48
2010-01-03 - 2010-01-09,10,44
2010-01-10 - 2010-01-16,9,41
2010-01-17 - 2010-01-23,10,43
2010-01-24 - 2010-01-30,10,43
2010-01-31 - 2010-02-06,10,46
2010-02-07 - 2010-02-13,9,47
2010-02-14 - 2010-02-20,9,46
2010-02-21 - 2010-02-27,10,44
2010-02-28 - 2010-03-06,9,45
2010-03-07 - 2010-03-13,10,47
2010-03-14 - 2010-03-20,9,44
2010-03-21 - 2010-03-27,10,46
2010-03-28 - 2010-04-03,10,49
2010-04-04 - 2010-04-10,10,48
2010-04-11 - 2010-04-17,10,45
2010-04-18 - 2010-04-24,9,45
2010-04-25 - 2010-05-01,9,46
2010-05-02 - 2010-05-08,9,45
2010-05-09 - 2010-05-15,9,46
2010-05-16 - 2010-05-22,9,44
2010-05-23 - 2010-05-29,9,43
2010-05-30 - 2010-06-05,9,46
2010-06-06 - 2010-06-12,10,44
2010-06-13 - 2010-06-19,9,43
2010-06-20 - 2010-06-26,9,45
2010-06-27 - 2010-07-03,8,48
2010-07-04 - 2010-07-10,9,50
2010-07-11 - 2010-07-17,9,53
2010-07-18 - 2010-07-24,10,53
2010-07-25 - 2010-07-31,9,52
2010-08-01 - 2010-08-07,9,52
2010-08-08 - 2010-08-14,9,51
2010-08-15 - 2010-08-21,9,52
2010-08-22 - 2010-08-28,9,47
2010-08-29 - 2010-09-04,9,47
2010-09-05 - 2010-09-11,9,52
2010-09-12 - 2010-09-18,9,50
2010-09-19 - 2010-09-25,9,50
2010-09-26 - 2010-10-02,8,49
2010-10-03 - 2010-10-09,9,51
2010-10-10 - 2010-10-16,9,51
2010-10-17 - 2010-10-23,9,53
2010-10-24 - 2010-10-30,9,52
2010-10-31 - 2010-11-06,10,54
2010-11-07 - 2010-11-13,10,53
2010-11-14 - 2010-11-20,12,54
2010-11-21 - 2010-11-27,11,55
2010-11-28 - 2010-12-04,9,53
2010-12-05 - 2010-12-11,11,56
2010-12-12 - 2010-12-18,10,58
2010-12-19 - 2010-12-25,10,59
2010-12-26 - 2011-01-01,11,59
2011-01-02 - 2011-01-08,9,58
2011-01-09 - 2011-01-15,9,55
2011-01-16 - 2011-01-22,10,56
2011-01-23 - 2011-01-29,9,55
2011-01-30 - 2011-02-05,10,55
2011-02-06 - 2011-02-12,9,55
2011-02-13 - 2011-02-19,8,54
2011-02-20 - 2011-02-26,9,54
2011-02-27 - 2011-03-05,8,52
2011-03-06 - 2011-03-12,8,52
2011-03-13 - 2011-03-19,8,50
2011-03-20 - 2011-03-26,8,53
2011-03-27 - 2011-04-02,9,53
2011-04-03 - 2011-04-09,8,53
2011-04-10 - 2011-04-16,8,54
2011-04-17 - 2011-04-23,8,59
2011-04-24 - 2011-04-30,8,57
2011-05-01 - 2011-05-07,8,53
2011-05-08 - 2011-05-14,8,56
2011-05-15 - 2011-05-21,8,57
2011-05-22 - 2011-05-28,8,58
2011-05-29 - 2011-06-04,8,60
2011-06-05 - 2011-06-11,8,60
2011-06-12 - 2011-06-18,8,61
2011-06-19 - 2011-06-25,8,64
2011-06-26 - 2011-07-02,8,64
2011-07-03 - 2011-07-09,8,61
2011-07-10 - 2011-07-16,8,63
2011-07-17 - 2011-07-23,8,63
2011-07-24 - 2011-07-30,8,64
2011-07-31 - 2011-08-06,8,64
2011-08-07 - 2011-08-13,10,65
2011-08-14 - 2011-08-20,8,66
2011-08-21 - 2011-08-27,7,62
2011-08-28 - 2011-09-03,8,60
2011-09-04 - 2011-09-10,8,61
2011-09-11 - 2011-09-17,8,62
2011-09-18 - 2011-09-24,8,61
2011-09-25 - 2011-10-01,8,61
2011-10-02 - 2011-10-08,10,61
2011-10-09 - 2011-10-15,9,61
2011-10-16 - 2011-10-22,9,60
2011-10-23 - 2011-10-29,9,61
2011-10-30 - 2011-11-05,8,59
2011-11-06 - 2011-11-12,9,61
2011-11-13 - 2011-11-19,9,59
2011-11-20 - 2011-11-26,9,58
2011-11-27 - 2011-12-03,9,63
2011-12-04 - 2011-12-10,9,61
2011-12-11 - 2011-12-17,10,66
2011-12-18 - 2011-12-24,11,66
2011-12-25 - 2011-12-31,11,70
2012-01-01 - 2012-01-07,10,67
2012-01-08 - 2012-01-14,9,66
2012-01-15 - 2012-01-21,10,67
2012-01-22 - 2012-01-28,9,66
2012-01-29 - 2012-02-04,9,63
2012-02-05 - 2012-02-11,9,62
2012-02-12 - 2012-02-18,9,63
2012-02-19 - 2012-02-25,9,66
2012-02-26 - 2012-03-03,9,63
2012-03-04 - 2012-03-10,9,65
2012-03-11 - 2012-03-17,9,66
2012-03-18 - 2012-03-24,8,65
2012-03-25 - 2012-03-31,8,62
2012-04-01 - 2012-04-07,8,64
2012-04-08 - 2012-04-14,9,63
2012-04-15 - 2012-04-21,9,63
2012-04-22 - 2012-04-28,9,65
2012-04-29 - 2012-05-05,9,68
2012-05-06 - 2012-05-12,9,64
2012-05-13 - 2012-05-19,9,64
2012-05-20 - 2012-05-26,8,65
2012-05-27 - 2012-06-02,8,64
2012-06-03 - 2012-06-09,8,65
2012-06-10 - 2012-06-16,8,65
2012-06-17 - 2012-06-23,8,67
2012-06-24 - 2012-06-30,9,68
2012-07-01 - 2012-07-07,9,67
2012-07-08 - 2012-07-14,9,69
2012-07-15 - 2012-07-21,9,69
2012-07-22 - 2012-07-28,9,68
2012-07-29 - 2012-08-04,9,67
2012-08-05 - 2012-08-11,9,70
2012-08-12 - 2012-08-18,9,71
2012-08-19 - 2012-08-25,9,67
2012-08-26 - 2012-09-01,9,64
2012-09-02 - 2012-09-08,9,65
2012-09-09 - 2012-09-15,9,63
2012-09-16 - 2012-09-22,8,64
2012-09-23 - 2012-09-29,9,64
2012-09-30 - 2012-10-06,9,64
2012-10-07 - 2012-10-13,9,63
2012-10-14 - 2012-10-20,9,62
2012-10-21 - 2012-10-27,9,64
2012-10-28 - 2012-11-03,9,62
2012-11-04 - 2012-11-10,9,64
2012-11-11 - 2012-11-17,10,63
2012-11-18 - 2012-11-24,10,64
2012-11-25 - 2012-12-01,10,64
2012-12-02 - 2012-12-08,10,67
2012-12-09 - 2012-12-15,10,66
2012-12-16 - 2012-12-22,10,68
2012-12-23 - 2012-12-29,11,74
2012-12-30 - 2013-01-05,12,100
2013-01-06 - 2013-01-12,10,80
2013-01-13 - 2013-01-19,10,73
2013-01-20 - 2013-01-26,11,74
2013-01-27 - 2013-02-02,10,76
2013-02-03 - 2013-02-09,10,73
2013-02-10 - 2013-02-16,10,72
2013-02-17 - 2013-02-23,10,73
2013-02-24 - 2013-03-02,10,73
2013-03-03 - 2013-03-09,10,73
2013-03-10 - 2013-03-16,10,80
2013-03-17 - 2013-03-23,10,81
2013-03-24 - 2013-03-30,10,80
2013-03-31 - 2013-04-06,11,83
2013-04-07 - 2013-04-13,10,80
2013-04-14 - 2013-04-20,9,75
2013-04-21 - 2013-04-27,9,75
2013-04-28 - 2013-05-04,10,78
2013-05-05 - 2013-05-11,10,74
2013-05-12 - 2013-05-18,9,75
2013-05-19 - 2013-05-25,9,72
2013-05-26 - 2013-06-01,9,74
2013-06-02 - 2013-06-08,9,75
2013-06-09 - 2013-06-15,9,75
2013-06-16 - 2013-06-22,9,77
2013-06-23 - 2013-06-29,9,77
2013-06-30 - 2013-07-06,9,76
2013-07-07 - 2013-07-13,9,79
2013-07-14 - 2013-07-20,9,79
2013-07-21 - 2013-07-27,10,78
2013-07-28 - 2013-08-03,10,81
2013-08-04 - 2013-08-10,10,79
2013-08-11 - 2013-08-17,10,78
2013-08-18 - 2013-08-24,10,76
2013-08-25 - 2013-08-31,15,73
2013-09-01 - 2013-09-07,10,72
2013-09-08 - 2013-09-14,11,70
2013-09-15 - 2013-09-21,10,72
2013-09-22 - 2013-09-28,9,69
2013-09-29 - 2013-10-05,10,72
2013-10-06 - 2013-10-12,10,70
2013-10-13 - 2013-10-19,10,73
2013-10-20 - 2013-10-26,11,69
